UserID;DateTime;TargetDistance;TargetHeight;GravityStrength;BallType;BallMass;Score
-1;16.1.2026 18:28;8;3;-10;Tennis;5;0
-1;16.1.2026 18:28;10;1;-10;Tennis;5;2
-1;16.1.2026 18:28;7;1;-10;Tennis;5;2
-1;16.1.2026 18:28;6;2;-10;Tennis;5;0
-1;16.1.2026 18:28;9;1;-10;Tennis;5;2
-1;16.1.2026 18:28;6;2;-10;Tennis;5;0
-1;16.1.2026 18:28;10;3;-10;Tennis;5;0
-1;16.1.2026 18:28;8;3;-10;Tennis;5;0
-1;16.1.2026 18:28;9;1;-10;Tennis;5;2
-1;16.1.2026 18:28;8;3;-10;Tennis;5;0
-1;16.1.2026 18:28;5;1;-10;Tennis;5;2
-1;19.1.2026 0:29;1;1;-10;Tennis;5;4
-1;19.1.2026 0:29;10;3;-10;Tennis;5;0
-1;19.1.2026 0:29;9;3;-10;Tennis;5;0
-1;19.1.2026 0:29;6;2;-10;Tennis;5;0
-1;19.1.2026 0:29;8;3;-10;Tennis;5;0
-1;19.1.2026 0:29;7;1;-10;Tennis;5;4
-1;19.1.2026 0:29;8;1;-10;Tennis;5;4
-1;19.1.2026 0:29;7;3;-10;Tennis;5;0
-1;19.1.2026 0:29;6;3;-10;Tennis;5;0
-1;19.1.2026 0:29;10;1;-10;Tennis;5;4
-1;19.1.2026 0:29;6;1;-10;Tennis;5;4
-1;19.1.2026 0:29;6;2;-10;Tennis;5;0
-1;19.1.2026 0:29;7;3;-10;Tennis;5;0
-1;19.1.2026 0:29;8;1;-10;Tennis;5;4
-1;19.1.2026 0:29;5;1;-10;Tennis;5;4
-1;19.1.2026 0:29;6;3;-10;Tennis;5;0
-1;19.1.2026 0:29;7;2;-10;Tennis;5;0
-1;19.1.2026 0:29;5;3;-10;Tennis;5;0
-1;19.1.2026 0:29;5;1;-10;Tennis;5;4
-1;19.1.2026 0:29;9;1;-10;Tennis;5;4
-1;19.1.2026 0:29;8;2;-10;Tennis;5;0
-1;19.1.2026 0:29;7;3;-10;Tennis;5;0
-1;19.1.2026 0:29;9;2;-10;Tennis;5;0
-1;19.1.2026 0:29;7;2;-10;Tennis;5;0
-1;19.1.2026 0:29;6;1;-10;Tennis;5;4
-1;19.1.2026 0:29;6;2;-10;Tennis;5;0
-1;19.1.2026 2:05;0;0;-10;Spear;5;4
-1;19.1.2026 2:05;9;1;-10;Spear;5;4
-1;19.1.2026 2:05;6;1;-10;Spear;5;4
-1;19.1.2026 2:05;10;2;-10;Spear;5;0
-1;19.1.2026 2:05;9;1;-10;Spear;5;4
-1;19.1.2026 2:05;6;2;-10;Spear;5;0
-1;19.1.2026 2:05;9;3;-10;Spear;5;0
-1;19.1.2026 2:05;6;1;-10;Spear;5;4
-1;19.1.2026 2:05;10;2;-10;Spear;5;0
-1;19.1.2026 2:05;10;3;-10;Spear;5;0
-1;19.1.2026 2:05;7;1;-10;Spear;5;4
-1;19.1.2026 2:05;6;3;-10;Spear;5;0
-1;19.1.2026 2:05;7;3;-10;Spear;5;0
-1;19.1.2026 2:05;9;2;-10;Spear;5;0
-1;19.1.2026 2:05;7;1;-10;Spear;5;4
-1;19.1.2026 2:05;6;3;-10;Spear;5;0
-1;19.1.2026 2:05;8;1;-10;Spear;5;0
-1;19.1.2026 2:05;9;3;-10;Spear;5;0
-1;19.1.2026 2:05;10;2;-10;Spear;5;0
-1;19.1.2026 2:05;7;3;-10;Spear;5;0
-1;19.1.2026 2:05;5;2;-10;Spear;5;0
-1;19.1.2026 2:05;7;3;-10;Spear;5;0
-1;19.1.2026 2:05;8;2;-10;Spear;5;0
-1;19.1.2026 2:05;9;2;-10;Spear;5;0
